"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","TotalDiff","Churn","tenure1","MonthlyCharges1"
"1","Female",0,"Yes","No",1,"No","Nps","DSL","No","Yes","No","No","No","No","M-T-M","Yes","EC",29.85,29.85,0,"No","0-12","$24-$48"
"2","Male",0,"No","No",34,"Yes","No","DSL","Yes","No","Yes","No","No","No","1yr","No","MC",56.95,1889.5,46.8,"No","24-36","$48-$72"
"3","Male",0,"No","No",2,"Yes","No","DSL","Yes","Yes","No","No","No","No","M-T-M","Yes","MC",53.85,108.15,-0.45,"Yes","0-12","$48-$72"
"4","Male",0,"No","No",45,"No","Nps","DSL","Yes","No","Yes","Yes","No","No","1yr","No","BT",42.3,1840.75,62.75,"No","36-48","$24-$48"
"5","Female",0,"No","No",2,"Yes","No","FO","No","No","No","No","No","No","M-T-M","Yes","EC",70.7,151.65,-10.25,"Yes","0-12","$48-$72"
"6","Female",0,"No","No",8,"Yes","Yes","FO","No","No","Yes","No","Yes","Yes","M-T-M","Yes","EC",99.65,820.5,-23.3,"Yes","0-12","$96-$120"
"7","Male",0,"No","Yes",22,"Yes","Yes","FO","No","Yes","No","No","Yes","No","M-T-M","Yes","CC",89.1,1949.4,10.8,"No","12-24","$72-$96"
"8","Female",0,"No","No",10,"No","Nps","DSL","Yes","No","No","No","No","No","M-T-M","No","MC",29.75,301.9,-4.4,"No","0-12","$24-$48"
"9","Female",0,"Yes","No",28,"Yes","Yes","FO","No","No","Yes","Yes","Yes","Yes","M-T-M","Yes","EC",104.8,3046.05,-111.65,"Yes","24-36","$96-$120"
"10","Male",0,"No","Yes",62,"Yes","No","DSL","Yes","Yes","No","No","No","No","1yr","No","BT",56.15,3487.95,-6.65,"No","60-72","$48-$72"
"11","Male",0,"Yes","Yes",13,"Yes","No","DSL","Yes","No","No","No","No","No","M-T-M","Yes","MC",49.95,587.45,61.9,"No","12-24","$48-$72"
"12","Male",0,"No","No",16,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","CC",18.95,326.8,-23.6,"No","12-24","$0-$24"
"13","Male",0,"Yes","No",58,"Yes","Yes","FO","No","No","Yes","No","Yes","Yes","1yr","No","CC",100.35,5681.1,139.2,"No","48-60","$96-$120"
"14","Male",0,"No","No",49,"Yes","Yes","FO","No","Yes","Yes","No","Yes","Yes","M-T-M","Yes","BT",103.7,5036.3,45,"Yes","48-60","$96-$120"
"15","Male",0,"No","No",25,"Yes","No","FO","Yes","No","Yes","Yes","Yes","Yes","M-T-M","Yes","EC",105.5,2686.05,-48.55,"No","24-36","$96-$120"
